Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
348,Jakob Poeltl,C,28,TOR,22,22,587,110,150,0.733,0,0,,110,150,0.733,0.733,17,37,0.459,61,123,184,48,17,25,34,59,237,poeltja01,2443,623,1009,315,170
353,Otto Porter Jr.,SF,30,TOR,11,1,130,10,26,0.385,7,19,0.368,3,7,0.429,0.519,1,1,1,6,18,24,3,4,4,2,12,28,porteot01,2443,623,1009,315,170
393,Dennis Schröder,PG,30,TOR,22,22,696,120,288,0.417,37,111,0.333,83,177,0.469,0.481,56,65,0.862,12,54,66,150,19,2,40,48,333,schrode01,2443,623,1009,315,170
402,Pascal Siakam,PF,29,TOR,22,22,755,174,351,0.496,17,83,0.205,157,268,0.586,0.52,90,117,0.769,35,117,152,109,16,5,56,49,455,siakapa01,2443,623,1009,315,170
425,Garrett Temple,SG,37,TOR,5,0,16,4,5,0.8,1,1,1,3,4,0.75,0.9,2,2,1,0,2,2,2,1,0,0,0,11,templga01,2443,623,1009,315,170
439,Gary Trent Jr.,SG,25,TOR,19,2,484,74,191,0.387,35,98,0.357,39,93,0.419,0.479,19,32,0.594,4,34,38,26,14,2,12,21,202,trentga02,2443,623,1009,315,170
490,Thaddeus Young,PF,35,TOR,3,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0,1,2,3,3,0,0,1,0,4,youngth01,2443,623,1009,315,170
3,Ochai Agbaji,SG,23,UTA,22,9,449,53,114,0.465,29,71,0.408,24,43,0.558,0.592,6,8,0.75,18,37,55,22,14,12,16,32,141,agbajoc01,2441,577,1029,389,145
87,Jordan Clarkson,SG,31,UTA,18,18,564,112,275,0.407,31,101,0.307,81,174,0.466,0.464,53,64,0.828,22,38,60,89,15,2,55,26,308,clarkjo01,2441,577,1029,389,145
91,John Collins,PF,26,UTA,22,22,683,121,251,0.482,31,81,0.383,90,170,0.529,0.544,45,60,0.75,59,130,189,20,14,21,31,62,318,collijo01,2441,577,1029,389,145
117,Kris Dunn,PG,29,UTA,14,1,152,22,52,0.423,5,13,0.385,17,39,0.436,0.471,6,10,0.6,5,22,27,27,7,1,15,19,55,dunnkr01,2441,577,1029,389,145
130,Simone Fontecchio,SF,28,UTA,20,7,375,52,122,0.426,32,85,0.376,20,37,0.541,0.557,9,12,0.75,14,35,49,24,7,8,21,30,145,fontesi01,2441,577,1029,389,145
142,Keyonte George,PG,20,UTA,22,14,581,73,212,0.344,34,112,0.304,39,100,0.39,0.425,52,68,0.765,12,57,69,113,11,3,50,25,232,georgke01,2441,577,1029,389,145
184,Taylor Hendricks,PF,20,UTA,4,0,56,6,16,0.375,3,10,0.3,3,6,0.5,0.469,1,2,0.5,2,3,5,0,3,3,3,4,16,hendrita01,2441,577,1029,389,145
